junction,lat,lon,image_id,two wheeler,autorickshaw,car,bus,LCV,truck,bicycle,pedestrain,total_vehicles
Egmore,13.0732,80.2609,4139763222919770,0,0,0,0,0,1,0,5,6
Central_Station,13.0827,80.2785,1229846019232663,0,0,1,3,0,1,0,0,5
Vadapalani,13.0531,80.2121,149456794331878,4,0,2,0,1,1,0,0,8
Velachery_Junction,12.9815,80.218,157629339695131,2,1,4,1,2,0,1,1,12
Porur,13.0374,80.1572,1047233453354383,4,1,0,2,0,2,0,2,11
Anna_Nagar_Roundtana,13.085,80.2101,1753446358149148,2,0,5,0,2,1,0,2,12
Mylapore,13.0339,80.2676,1089670284875527,0,0,0,0,0,0,0,0,0
